,Unnamed: 0,pow_index,pow_id,pow_date,pow_time,pow_dcv,pow_dca,pow_dcp,pow_acvr,pow_acvs,pow_acvt,pow_acar,pow_acas,pow_acat,pow_acp,pow_pf,pow_totpower,pow_totpower_origin,pow_freq,pow_slopesolar,pow_modtemp,state
0,0,8486,558,2022-04-04,06:22:50,320,0.0,0.0,233,0,0,0.4,0.0,0.0,100.0,0.0,289000.0,289000.0,59.9,0.0,0.0,0
1,1,8487,558,2022-04-04,06:37:50,121,0.1,0.0,233,0,0,0.4,0.0,0.0,100.0,0.0,289000.0,289000.0,60.0,0.0,0.0,0
2,2,8488,558,2022-04-04,06:39:50,121,0.1,0.0,232,0,0,0.4,0.0,0.0,100.0,0.0,289000.0,289000.0,59.9,0.0,0.0,0
3,3,8490,558,2022-04-04,06:47:50,121,0.2,0.0,233,0,0,0.4,0.0,0.0,100.0,0.0,289000.0,289000.0,60.0,0.0,0.0,0
4,4,8491,558,2022-04-04,06:51:50,121,0.2,0.0,233,0,0,0.4,0.0,0.0,100.0,0.0,289000.0,289000.0,59.9,0.0,0.0,0
5,5,8493,558,2022-04-04,06:53:50,121,0.2,0.0,233,0,0,0.5,0.0,0.0,100.0,0.0,289000.0,289000.0,60.0,0.0,0.0,0
6,6,8495,558,2022-04-04,06:54:50,121,0.2,0.0,233,0,0,0.5,0.0,0.0,100.0,0.0,289000.0,289000.0,60.0,0.0,0.0,0
7,7,8496,558,2022-04-04,06:55:50,121,0.3,0.0,233,0,0,0.4,0.0,0.0,100.0,0.0,289000.0,289000.0,59.9,0.0,0.0,0
8,8,8498,558,2022-04-04,06:59:50,121,0.3,0.0,233,0,0,0.4,0.0,0.0,100.0,0.0,289000.0,289000.0,59.9,0.0,0.0,0
9,9,8500,558,2022-04-04,07:01:50,121,0.3,0.0,233,0,0,0.4,0.0,0.0,100.0,0.0,289000.0,289000.0,60.0,0.0,0.0,0
10,10,8502,558,2022-04-04,07:02:50,121,0.3,0.0,233,0,0,0.4,0.0,0.0,100.0,0.0,289000.0,289000.0,59.9,0.0,0.0,0
11,11,8503,558,2022-04-04,07:05:50,121,0.3,0.0,233,0,0,0.4,0.0,0.0,100.0,0.0,289000.0,289000.0,59.9,0.0,0.0,0
12,12,8504,558,2022-04-04,07:06:50,121,0.3,0.0,233,0,0,0.4,0.0,0.0,100.0,0.0,289000.0,289000.0,59.9,0.0,0.0,0
13,13,8505,558,2022-04-04,07:07:50,121,0.4,0.0,233,0,0,0.4,0.0,0.0,100.0,0.0,289000.0,289000.0,59.9,0.0,0.0,0
14,14,8507,558,2022-04-04,07:10:50,121,0.4,0.0,233,0,0,0.4,0.0,0.0,100.0,0.0,289000.0,289000.0,59.9,0.0,0.0,0
15,15,8508,558,2022-04-04,07:11:50,121,0.4,0.0,233,0,0,0.4,0.0,0.0,100.0,0.0,289000.0,289000.0,59.9,0.0,0.0,0
16,16,8511,558,2022-04-04,07:14:50,121,0.4,0.0,233,0,0,0.4,0.0,0.0,100.0,0.0,289000.0,289000.0,60.0,0.0,0.0,0
17,17,8512,558,2022-04-04,07:15:50,121,0.4,0.0,232,0,0,0.4,0.0,0.0,100.0,0.0,289000.0,289000.0,60.0,0.0,0.0,0
18,18,8514,558,2022-04-04,07:16:50,121,0.4,0.0,233,0,0,0.4,0.0,0.0,100.0,0.0,289000.0,289000.0,60.0,0.0,0.0,0
19,19,8515,558,2022-04-04,07:18:50,121,0.4,0.0,233,0,0,0.4,0.0,0.0,100.0,0.0,289000.0,289000.0,60.0,0.0,0.0,0
20,20,8519,558,2022-04-04,07:22:50,121,0.5,0.0,233,0,0,0.4,0.0,0.0,100.0,0.0,289000.0,289000.0,60.0,0.0,0.0,0
21,21,8523,558,2022-04-04,07:26:50,121,0.5,0.0,233,0,0,0.4,0.0,0.0,100.0,0.0,289000.0,289000.0,59.9,0.0,0.0,0
22,22,8525,558,2022-04-04,07:27:50,121,0.5,0.0,233,0,0,0.4,0.0,0.0,100.0,0.0,289000.0,289000.0,59.9,0.0,0.0,0
23,23,8526,558,2022-04-04,07:28:50,121,0.5,0.0,233,0,0,0.4,0.0,0.0,100.0,0.0,289000.0,289000.0,60.0,0.0,0.0,0
24,24,8531,558,2022-04-04,07:30:50,121,0.5,0.0,233,0,0,0.4,0.0,0.0,100.0,0.0,289000.0,289000.0,60.0,0.0,0.0,0
25,25,8533,558,2022-04-04,07:31:50,121,0.5,0.0,233,0,0,0.4,0.0,0.0,100.0,0.0,289000.0,289000.0,60.0,0.0,0.0,0
26,26,8535,558,2022-04-04,07:32:50,121,0.5,0.0,233,0,0,0.4,0.0,0.0,100.0,0.0,289000.0,289000.0,60.0,0.0,0.0,0
27,27,8538,558,2022-04-04,07:33:50,121,0.5,0.0,233,0,0,0.4,0.0,0.0,100.0,0.0,289000.0,289000.0,60.0,0.0,0.0,0
28,28,8540,558,2022-04-04,07:34:50,121,0.6,0.0,233,0,0,0.4,0.0,0.0,100.0,0.0,289000.0,289000.0,60.0,0.0,0.0,0
29,29,8543,558,2022-04-04,07:35:50,121,0.6,0.0,233,0,0,0.4,0.0,0.0,100.0,0.0,289000.0,289000.0,60.0,0.0,0.0,0
30,30,8545,558,2022-04-04,07:36:50,121,0.6,0.0,233,0,0,0.4,0.0,0.0,100.0,0.0,289000.0,289000.0,60.0,0.0,0.0,0
31,31,8548,558,2022-04-04,07:37:50,121,0.6,0.0,233,0,0,0.4,0.0,0.0,100.0,0.0,289000.0,289000.0,60.0,0.0,0.0,0
32,32,8552,558,2022-04-04,07:39:50,121,0.6,0.0,233,0,0,0.4,0.0,0.0,100.0,0.0,289000.0,289000.0,60.0,0.0,0.0,0
33,33,8555,558,2022-04-04,07:40:50,121,0.6,0.0,233,0,0,0.4,0.0,0.0,100.0,0.0,289000.0,289000.0,60.0,0.0,0.0,0
34,34,8558,558,2022-04-04,07:41:50,121,0.6,0.0,233,0,0,0.4,0.0,0.0,100.0,0.0,289000.0,289000.0,60.0,0.0,0.0,0
35,35,8561,558,2022-04-04,07:42:50,121,0.7,0.0,233,0,0,0.4,0.0,0.0,100.0,0.0,289000.0,289000.0,60.0,0.0,0.0,0
36,36,8564,558,2022-04-04,07:43:50,121,0.7,0.0,232,0,0,0.4,0.0,0.0,100.0,0.0,289000.0,289000.0,60.0,0.0,0.0,0
37,37,8567,558,2022-04-04,07:44:50,121,0.7,0.0,233,0,0,0.4,0.0,0.0,100.0,0.0,289000.0,289000.0,60.0,0.0,0.0,0
38,38,8570,558,2022-04-04,07:45:50,121,0.7,0.0,233,0,0,0.8,0.0,0.0,300.0,0.0,289000.0,289000.0,60.0,0.0,0.0,0
39,39,8573,558,2022-04-04,07:46:50,121,0.7,0.0,233,0,0,0.4,0.0,0.0,100.0,0.0,289000.0,289000.0,60.0,0.0,0.0,0
40,40,8576,558,2022-04-04,07:47:50,121,0.7,0.0,233,0,0,3.1,0.0,0.0,200.0,0.0,289000.0,289000.0,60.0,0.0,0.0,0
41,41,8579,558,2022-04-04,07:48:50,121,0.8,0.0,233,0,0,2.3,0.0,0.0,500.0,0.0,289000.0,289000.0,60.0,0.0,0.0,0
42,42,8582,558,2022-04-04,07:49:50,121,0.8,0.0,233,0,0,2.4,0.0,0.0,600.0,0.0,289000.0,289000.0,59.9,0.0,0.0,0
43,43,8585,558,2022-04-04,07:50:50,352,0.7,200.0,233,0,0,1.1,0.0,0.0,200.0,0.0,289000.0,289000.0,60.0,0.0,0.0,0
44,44,8588,558,2022-04-04,07:51:50,357,0.7,200.0,233,0,0,1.0,0.0,0.0,200.0,0.0,289000.0,289000.0,59.9,0.0,0.0,0
45,45,8591,558,2022-04-04,07:52:50,345,0.7,200.0,233,0,0,1.1,0.0,0.0,200.0,0.0,289000.0,289000.0,60.0,0.0,0.0,0
46,46,8594,558,2022-04-04,07:53:50,353,0.7,200.0,233,0,0,1.1,0.0,0.0,200.0,0.0,289000.0,289000.0,59.9,0.0,0.0,0
47,47,8597,558,2022-04-04,07:54:50,345,0.8,200.0,233,0,0,1.1,0.0,0.0,200.0,0.0,289000.0,289000.0,59.9,0.0,0.0,0
48,48,8600,558,2022-04-04,07:55:50,353,0.8,200.0,233,0,0,1.0,0.0,0.0,200.0,0.0,289000.0,289000.0,59.9,0.0,0.0,0
49,49,8603,558,2022-04-04,07:56:50,352,0.8,200.0,233,0,0,1.3,0.0,0.0,200.0,0.0,289000.0,289000.0,59.9,0.0,0.0,0
50,50,8606,558,2022-04-04,07:57:50,352,0.8,300.0,232,0,0,1.3,0.0,0.0,300.0,0.0,289000.0,289000.0,59.9,0.0,0.0,0
51,51,8609,558,2022-04-04,07:58:50,353,0.8,300.0,233,0,0,1.3,0.0,0.0,300.0,0.0,289000.0,289000.0,60.0,0.0,0.0,0
52,52,8612,558,2022-04-04,07:59:50,353,0.8,300.0,232,0,0,1.3,0.0,0.0,300.0,0.0,289000.0,289000.0,59.9,0.0,0.0,0
53,53,8615,558,2022-04-04,08:00:50,348,0.9,300.0,232,0,0,1.4,0.0,0.0,300.0,0.0,289000.0,289000.0,59.9,0.0,0.0,0
54,54,8618,558,2022-04-04,08:01:50,345,0.9,300.0,232,0,0,1.4,0.0,0.0,300.0,0.0,289000.0,289000.0,59.9,0.0,0.0,0
55,55,8621,558,2022-04-04,08:02:50,351,0.9,300.0,232,0,0,1.4,0.0,0.0,300.0,0.0,289000.0,289000.0,59.9,0.0,0.0,0
56,56,8624,558,2022-04-04,08:03:50,355,0.9,300.0,232,0,0,1.4,0.0,0.0,300.0,0.0,289000.0,289000.0,59.9,0.0,0.0,0
57,57,8627,558,2022-04-04,08:04:50,351,1.0,300.0,232,0,0,1.5,0.0,0.0,300.0,0.0,289000.0,289000.0,59.9,0.0,0.0,0
58,58,8630,558,2022-04-04,08:05:50,354,1.0,300.0,232,0,0,1.5,0.0,0.0,300.0,0.0,289000.0,289000.0,60.0,0.0,0.0,0
59,59,8633,558,2022-04-04,08:06:50,349,1.0,300.0,233,0,0,1.6,0.0,0.0,300.0,0.0,289000.0,289000.0,59.9,0.0,0.0,0
60,60,8636,558,2022-04-04,08:07:50,355,1.0,300.0,233,0,0,1.6,0.0,0.0,300.0,0.0,289000.0,289000.0,59.9,0.0,0.0,0
61,61,8639,558,2022-04-04,08:08:50,347,1.1,300.0,232,0,0,1.6,0.0,0.0,300.0,0.0,289000.0,289000.0,59.9,0.0,0.0,0
62,62,8642,558,2022-04-04,08:09:50,356,1.1,300.0,232,0,0,1.7,0.0,0.0,300.0,0.0,289000.0,289000.0,60.0,0.0,0.0,0
63,63,8644,558,2022-04-04,08:10:50,354,1.1,400.0,232,0,0,1.7,0.0,0.0,400.0,0.0,289000.0,289000.0,59.9,0.0,0.0,0
