env_index,env_date,env_time,env_slopesolar,env_levelsolar,env_modtemp,env_airtemp,env_tilt_degree,env_direction_degree,predict
0,2023-04-07,0:00:23,0,0,8.6,9.8,65.34,130.67,0
1,2023-04-07,0:02:23,0,0,8.6,9.7,76.57,153.14,0
2,2023-04-07,0:04:23,0,0,8.6,9.7,0.67,1.33,0
3,2023-04-07,0:06:23,0,0,8.7,9.9,85.01,170.01,0
4,2023-04-07,0:08:23,0,0,8.6,9.9,159.32,318.63,0
5,2023-04-07,0:10:23,0,0,8.6,9.7,34.41,68.83,0
6,2023-04-07,0:12:23,0,0,8.6,9.9,83.02,166.05,0
7,2023-04-07,0:14:23,0,0,8.6,9.7,42.58,85.17,0
8,2023-04-07,0:16:23,0,0,8.4,9.5,64.11,128.22,0
9,2023-04-07,0:18:23,0,0,8.6,9.5,108.8,217.6,0
10,2023-04-07,0:20:23,0,0,8.6,9.5,7.42,14.83,0
11,2023-04-07,0:22:23,0,0,8.4,9.5,113.73,227.46,0
12,2023-04-07,0:24:23,0,0,8.6,9.5,77.2,154.41,0
13,2023-04-07,0:26:23,0,0,8.4,9.5,97.48,194.95,0
14,2023-04-07,0:28:23,0,0,8.4,9.5,26.19,52.38,0
15,2023-04-07,0:30:23,0,0,8.4,9.5,45.55,91.09,0
16,2023-04-07,0:32:23,0,0,8.6,9.5,144.04,288.09,0
17,2023-04-07,0:34:23,0,0,8.4,9.5,112.92,225.84,0
18,2023-04-07,0:36:23,0,0,8.6,9.5,156.32,312.64,0
19,2023-04-07,0:38:23,0,0,8.4,9.5,116.97,233.94,0
20,2023-04-07,0:40:23,0,0,8.6,9.5,176.08,352.16,0
21,2023-04-07,0:42:23,0,0,8.4,9.5,126.26,252.52,0
22,2023-04-07,0:44:23,0,0,8.6,9.5,164.56,329.12,0
23,2023-04-07,0:46:23,0,0,8.4,9.5,169.01,338.03,0
24,2023-04-07,0:48:23,0,0,8.4,9.5,124.68,249.36,0
25,2023-04-07,0:50:24,0,0,8.6,9.5,84.5,169,0
26,2023-04-07,0:52:23,0,0,8.4,9.5,167.25,334.5,0
27,2023-04-07,0:54:24,0,0,8.4,9.5,88.03,176.07,0
28,2023-04-07,0:56:23,0,0,8.4,9.5,7.11,14.23,0
29,2023-04-07,0:58:24,0,0,8.4,9.5,12.45,24.89,0
30,2023-04-07,1:00:23,0,0,8.4,9.5,145.27,290.54,0
31,2023-04-07,1:02:24,0,0,8.6,9.5,98.58,197.16,0
